restaurant_id,restaurant_name,restaurant_tagline,restaurant_theme_color,restaurant_accent_color,restaurant_logo_emoji,restaurant_cuisine,restaurant_rating,restaurant_address,restaurant_phone,open_time,close_time,menu_id,item_id,item_name,category,description,price,currency,image_url,item_emoji,is_vegetarian,is_available,is_bestseller,spice_level
R002,Dragon Palace,Imperial Chinese Cuisine,#C1121F,#FFB703,🐉,Chinese,4.5,"88 Koramangala Block 5, Bangalore",+91-80-5678-9012,12:00 PM,10:30 PM,MENU_R002,I014,Veg Spring Rolls,Starters,"Crispy golden rolls filled with stir-fried mixed vegetables and glass noodles",220,₹,,🥢,true,true,false,Mild
R002,Dragon Palace,Imperial Chinese Cuisine,#C1121F,#FFB703,🐉,Chinese,4.5,"88 Koramangala Block 5, Bangalore",+91-80-5678-9012,12:00 PM,10:30 PM,MENU_R002,I015,Chicken Dumplings (6 pcs),Starters,"Steamed or pan-fried dumplings filled with minced chicken and ginger",280,₹,,🥟,false,true,true,Mild
R002,Dragon Palace,Imperial Chinese Cuisine,#C1121F,#FFB703,🐉,Chinese,4.5,"88 Koramangala Block 5, Bangalore",+91-80-5678-9012,12:00 PM,10:30 PM,MENU_R002,I016,Hot & Sour Soup,Starters,"Tangy and spicy soup with tofu, mushrooms, bamboo shoots and a silky egg ribbon",200,₹,,🍜,true,true,true,Hot
R002,Dragon Palace,Imperial Chinese Cuisine,#C1121F,#FFB703,🐉,Chinese,4.5,"88 Koramangala Block 5, Bangalore",+91-80-5678-9012,12:00 PM,10:30 PM,MENU_R002,I017,Prawn Har Gow,Starters,"Delicate steamed crystal prawn dumplings — a dim sum classic",340,₹,,🦐,false,true,false,None
R002,Dragon Palace,Imperial Chinese Cuisine,#C1121F,#FFB703,🐉,Chinese,4.5,"88 Koramangala Block 5, Bangalore",+91-80-5678-9012,12:00 PM,10:30 PM,MENU_R002,I018,Kung Pao Chicken,Main Course,"Stir-fried chicken with roasted peanuts, Sichuan chilies and crunchy vegetables",420,₹,,🍗,false,true,true,Hot
R002,Dragon Palace,Imperial Chinese Cuisine,#C1121F,#FFB703,🐉,Chinese,4.5,"88 Koramangala Block 5, Bangalore",+91-80-5678-9012,12:00 PM,10:30 PM,MENU_R002,I019,Veg Fried Rice,Main Course,"Wok-tossed jasmine rice with seasonal vegetables and house soy blend",280,₹,,🍚,true,true,false,Mild
R002,Dragon Palace,Imperial Chinese Cuisine,#C1121F,#FFB703,🐉,Chinese,4.5,"88 Koramangala Block 5, Bangalore",+91-80-5678-9012,12:00 PM,10:30 PM,MENU_R002,I020,Chicken Hakka Noodles,Main Course,"Wok-fried noodles with shredded chicken and classic soy-sesame sauce",320,₹,,🍝,false,true,true,Medium
R002,Dragon Palace,Imperial Chinese Cuisine,#C1121F,#FFB703,🐉,Chinese,4.5,"88 Koramangala Block 5, Bangalore",+91-80-5678-9012,12:00 PM,10:30 PM,MENU_R002,I021,Veg Manchurian Gravy,Main Course,"Fried vegetable balls tossed in a bold and tangy Manchurian sauce",300,₹,,🥦,true,true,false,Medium
R002,Dragon Palace,Imperial Chinese Cuisine,#C1121F,#FFB703,🐉,Chinese,4.5,"88 Koramangala Block 5, Bangalore",+91-80-5678-9012,12:00 PM,10:30 PM,MENU_R002,I022,Assorted Dim Sum Basket,Main Course,"Chef's selection of six steamed dumplings with pork, chicken and prawn",380,₹,,🧺,false,false,false,None
R002,Dragon Palace,Imperial Chinese Cuisine,#C1121F,#FFB703,🐉,Chinese,4.5,"88 Koramangala Block 5, Bangalore",+91-80-5678-9012,12:00 PM,10:30 PM,MENU_R002,I023,Mango Pudding,Desserts,"Silky smooth chilled mango pudding topped with fresh mango pieces and cream",180,₹,,🥭,true,true,true,None
R002,Dragon Palace,Imperial Chinese Cuisine,#C1121F,#FFB703,🐉,Chinese,4.5,"88 Koramangala Block 5, Bangalore",+91-80-5678-9012,12:00 PM,10:30 PM,MENU_R002,I024,Sesame Balls,Desserts,"Golden crispy glutinous rice balls filled with sweet lotus paste and black sesame",160,₹,,🟡,true,true,false,None
R002,Dragon Palace,Imperial Chinese Cuisine,#C1121F,#FFB703,🐉,Chinese,4.5,"88 Koramangala Block 5, Bangalore",+91-80-5678-9012,12:00 PM,10:30 PM,MENU_R002,I025,Jasmine Green Tea,Beverages,"Fragrant jasmine-infused green tea served hot or iced",120,₹,,🍵,true,true,true,None
R002,Dragon Palace,Imperial Chinese Cuisine,#C1121F,#FFB703,🐉,Chinese,4.5,"88 Koramangala Block 5, Bangalore",+91-80-5678-9012,12:00 PM,10:30 PM,MENU_R002,I026,Lychee Mocktail,Beverages,"Refreshing lychee juice with sparkling water, lime and mint",150,₹,,🍹,true,true,false,None
R003,La Bella Italia,Fine Italian Dining,#2D6A4F,#52B788,🍕,Italian,4.8,"5 Church Street, Lavelle Road, Bangalore",+91-80-6789-0123,12:30 PM,11:30 PM,MENU_R003,I027,Bruschetta al Pomodoro,Starters,"Crisp sourdough topped with fresh Roma tomatoes, basil and extra virgin olive oil",280,₹,,🍅,true,true,true,None
R003,La Bella Italia,Fine Italian Dining,#2D6A4F,#52B788,🍕,Italian,4.8,"5 Church Street, Lavelle Road, Bangalore",+91-80-6789-0123,12:30 PM,11:30 PM,MENU_R003,I028,Caprese Salad,Starters,"Buffalo mozzarella, heirloom tomatoes and fresh basil with aged balsamic reduction",360,₹,,🧀,true,true,false,None
R003,La Bella Italia,Fine Italian Dining,#2D6A4F,#52B788,🍕,Italian,4.8,"5 Church Street, Lavelle Road, Bangalore",+91-80-6789-0123,12:30 PM,11:30 PM,MENU_R003,I029,Minestrone Soup,Starters,"Hearty Tuscan vegetable and cannellini bean soup with fresh pasta and pesto",260,₹,,🥣,true,true,false,Mild
R003,La Bella Italia,Fine Italian Dining,#2D6A4F,#52B788,🍕,Italian,4.8,"5 Church Street, Lavelle Road, Bangalore",+91-80-6789-0123,12:30 PM,11:30 PM,MENU_R003,I030,Arancini al Formaggio,Starters,"Crispy golden risotto balls stuffed with molten mozzarella and sun-dried tomato",320,₹,,🟠,true,false,false,None
R003,La Bella Italia,Fine Italian Dining,#2D6A4F,#52B788,🍕,Italian,4.8,"5 Church Street, Lavelle Road, Bangalore",+91-80-6789-0123,12:30 PM,11:30 PM,MENU_R003,I031,Margherita Pizza,Main Course,"Classic Neapolitan pizza with San Marzano tomato sauce and fresh fior di latte",540,₹,,🍕,true,true,true,None
R003,La Bella Italia,Fine Italian Dining,#2D6A4F,#52B788,🍕,Italian,4.8,"5 Church Street, Lavelle Road, Bangalore",+91-80-6789-0123,12:30 PM,11:30 PM,MENU_R003,I032,Pasta Carbonara,Main Course,"Silky spaghetti with guanciale, Pecorino Romano, egg yolk and cracked black pepper",520,₹,,🍝,false,true,true,None
R003,La Bella Italia,Fine Italian Dining,#2D6A4F,#52B788,🍕,Italian,4.8,"5 Church Street, Lavelle Road, Bangalore",+91-80-6789-0123,12:30 PM,11:30 PM,MENU_R003,I033,Vegetable Lasagne,Main Course,"Layered egg pasta with roasted Mediterranean vegetables and creamy bechamel",500,₹,,🫙,true,true,false,None
R003,La Bella Italia,Fine Italian Dining,#2D6A4F,#52B788,🍕,Italian,4.8,"5 Church Street, Lavelle Road, Bangalore",+91-80-6789-0123,12:30 PM,11:30 PM,MENU_R003,I034,Wild Mushroom Risotto,Main Course,"Creamy Arborio rice with mixed wild mushrooms and aged Parmesan",480,₹,,🍄,true,true,true,None
R003,La Bella Italia,Fine Italian Dining,#2D6A4F,#52B788,🍕,Italian,4.8,"5 Church Street, Lavelle Road, Bangalore",+91-80-6789-0123,12:30 PM,11:30 PM,MENU_R003,I035,Classic Tiramisu,Desserts,"Traditional Italian coffee dessert with mascarpone cream and Savoiardi biscuits",340,₹,,☕,true,true,true,None
R003,La Bella Italia,Fine Italian Dining,#2D6A4F,#52B788,🍕,Italian,4.8,"5 Church Street, Lavelle Road, Bangalore",+91-80-6789-0123,12:30 PM,11:30 PM,MENU_R003,I036,Panna Cotta,Desserts,"Silky vanilla-scented cooked cream with summer berry coulis and mint",300,₹,,🍮,true,true,false,None
R003,La Bella Italia,Fine Italian Dining,#2D6A4F,#52B788,🍕,Italian,4.8,"5 Church Street, Lavelle Road, Bangalore",+91-80-6789-0123,12:30 PM,11:30 PM,MENU_R003,I037,Doppio Espresso,Beverages,"Rich concentrated double shot Italian coffee",140,₹,,☕,true,true,false,None
R003,La Bella Italia,Fine Italian Dining,#2D6A4F,#52B788,🍕,Italian,4.8,"5 Church Street, Lavelle Road, Bangalore",+91-80-6789-0123,12:30 PM,11:30 PM,MENU_R003,I038,Limonata Italiana,Beverages,"Fresh Italian lemonade with sparkling water and a sprig of rosemary",180,₹,,🍋,true,true,true,None
R004,Burger Barn,Smash Burgers & American Classics,#F4A261,#E76F51,🍔,American,4.6,"21 Residency Road, Richmond Town, Bangalore",+91-80-7890-1234,10:00 AM,12:00 AM,MENU_R004,I039,Crispy Onion Rings,Starters,"Beer-battered onion rings fried to a golden crisp, served with chipotle mayo",240,₹,,🧅,true,true,false,None
R004,Burger Barn,Smash Burgers & American Classics,#F4A261,#E76F51,🍔,American,4.6,"21 Residency Road, Richmond Town, Bangalore",+91-80-7890-1234,10:00 AM,12:00 AM,MENU_R004,I040,Loaded Cheese Fries,Starters,"Seasoned fries smothered in nacho cheese sauce with jalapenos and sour cream",300,₹,,🍟,true,true,true,Medium
R004,Burger Barn,Smash Burgers & American Classics,#F4A261,#E76F51,🍔,American,4.6,"21 Residency Road, Richmond Town, Bangalore",+91-80-7890-1234,10:00 AM,12:00 AM,MENU_R004,I041,Buffalo Chicken Wings (6 pcs),Starters,"Crispy fried wings tossed in tangy buffalo sauce served with blue cheese dip",400,₹,,🍗,false,true,true,Hot
R004,Burger Barn,Smash Burgers & American Classics,#F4A261,#E76F51,🍔,American,4.6,"21 Residency Road, Richmond Town, Bangalore",+91-80-7890-1234,10:00 AM,12:00 AM,MENU_R004,I042,Mozzarella Sticks,Starters,"Breaded and fried mozzarella fingers with zesty marinara dipping sauce",280,₹,,🧀,true,false,false,None
R004,Burger Barn,Smash Burgers & American Classics,#F4A261,#E76F51,🍔,American,4.6,"21 Residency Road, Richmond Town, Bangalore",+91-80-7890-1234,10:00 AM,12:00 AM,MENU_R004,I043,Classic Smash Burger,Main Course,"Double smashed beef patty with American cheese, pickles, lettuce and secret sauce",540,₹,,🍔,false,true,true,Mild
R004,Burger Barn,Smash Burgers & American Classics,#F4A261,#E76F51,🍔,American,4.6,"21 Residency Road, Richmond Town, Bangalore",+91-80-7890-1234,10:00 AM,12:00 AM,MENU_R004,I044,BBQ Bacon Crunch Burger,Main Course,"Beef patty with crispy streaky bacon, BBQ sauce, coleslaw and cheddar",600,₹,,🥓,false,true,true,Mild
R004,Burger Barn,Smash Burgers & American Classics,#F4A261,#E76F51,🍔,American,4.6,"21 Residency Road, Richmond Town, Bangalore",+91-80-7890-1234,10:00 AM,12:00 AM,MENU_R004,I045,Veggie Supreme Burger,Main Course,"Plant-based patty with smashed avocado, lettuce, tomato and sriracha mayo",480,₹,,🥑,true,true,false,Medium
R004,Burger Barn,Smash Burgers & American Classics,#F4A261,#E76F51,🍔,American,4.6,"21 Residency Road, Richmond Town, Bangalore",+91-80-7890-1234,10:00 AM,12:00 AM,MENU_R004,I046,Crispy Chicken Sandwich,Main Course,"Southern-style fried chicken fillet with pickled jalapenos and honey mustard in a brioche bun",500,₹,,🥪,false,true,true,Mild
R004,Burger Barn,Smash Burgers & American Classics,#F4A261,#E76F51,🍔,American,4.6,"21 Residency Road, Richmond Town, Bangalore",+91-80-7890-1234,10:00 AM,12:00 AM,MENU_R004,I047,Brownie Hot Fudge Sundae,Desserts,"Warm chocolate fudge brownie with two scoops of vanilla bean ice cream and hot fudge",340,₹,,🍫,true,true,true,None
R004,Burger Barn,Smash Burgers & American Classics,#F4A261,#E76F51,🍔,American,4.6,"21 Residency Road, Richmond Town, Bangalore",+91-80-7890-1234,10:00 AM,12:00 AM,MENU_R004,I048,Hand-spun Vanilla Shake,Desserts,"Thick and creamy hand-spun milkshake made with premium vanilla ice cream",280,₹,,🥤,true,true,false,None
R004,Burger Barn,Smash Burgers & American Classics,#F4A261,#E76F51,🍔,American,4.6,"21 Residency Road, Richmond Town, Bangalore",+91-80-7890-1234,10:00 AM,12:00 AM,MENU_R004,I049,Classic Cola (Large),Beverages,"Ice-cold cola served in a large cup with plenty of ice",90,₹,,🥤,true,true,false,None
R004,Burger Barn,Smash Burgers & American Classics,#F4A261,#E76F51,🍔,American,4.6,"21 Residency Road, Richmond Town, Bangalore",+91-80-7890-1234,10:00 AM,12:00 AM,MENU_R004,I050,Fresh Squeezed Lemonade,Beverages,"House-made lemonade with real lemons and a hint of mint",130,₹,,🍋,true,true,true,None
